书名,笔记内容
《大模型技术30讲》,嵌入向量简称嵌入，能够将高维数据编码为低维向量。我们可以通过嵌入方法，将（稀疏的）独热编码[插图]转化为（非稀疏的）连续稠密向量
《大模型技术30讲》,嵌入的一个基本特性是在编码时会关注输入间的距离或输入相似性。这意味着嵌入会考虑输入的语义，让相似的数据在嵌入空间中距离更近。
《大模型技术30讲》,自编码器的训练目标在于重建输入图像，换句话说，就是要尽量减小输入图像与其重建输出之间的差异。为了达成这一目的，自编码器会尝试学习如何在潜空间中将相似输入（比如说猫的图片）的特征编码放得更近些
《大模型技术30讲》,表征融入了原始数据的一些基本特征和属性，使其在后续的数据分析和数据处理中都更易使用
《大模型技术30讲》,在ImageNet这一通用数据集上完成预训练后，我们会基于该预训练模型继续训练，训练目标是一个更小、更具体，且含有我们感兴趣的鸟类图片的数据集（通常情况下，我们只需要改变分类任务特定的输出层，而预训练的网络结构可以照搬）
《大模型技术30讲》,自监督学习是迁移学习的一种替代方案，它在无标签数据而非有标签数据上进行模型预训练。假设我们现在只有无标签数据集，也就是说我们只能基于数据本身的结构想办法生成标签，从而设计出神经网络能执行的预测任务
《大模型技术30讲》,对于只有两三层的感知机这样的小型神经网络来说，自监督学习通常是既不实用也不必要的
《大模型技术30讲》,自监督学习主要分为两大类：自预测和对比自监督学习
《大模型技术30讲》,在对比自监督学习中，我们则是训练神经网络学习一个嵌入空间，其中，相似的输入彼此接近，而不相似的输入则相距很远
《大模型技术30讲》,彩票假设是一个关于神经网络训练的概念，它认为在一个随机初始化的神经网络中，存在着这样一个子网络（也称为“中奖彩票”）：如果单独训练，在训练步骤相同的情况下，能在测试集上达到与完整的网络一样高的正确率
《大模型技术30讲》,到目前为止，仍没有办法在不训练原始网络的情况下找到这些中奖彩票。如果算上剪枝步骤，这个训练过程甚至可能比常规过程成本还高
《大模型技术30讲》,注意力机制最初在2010年起源于图像识别领域，随后被引入循环神经网络，用于辅助长句翻译。
《大模型技术30讲》,全连接层的权重一旦经过训练，不论输入如何，都会保持固定不变。相比之下，图8-1下半部分所示的注意力权重则会根据输入内容的不同而变化，
《大模型技术30讲》,能体现这两种方式之间差异的经典案例，就是比较朴素贝叶斯分类器和逻辑回归分类器。这两种分类器都能估算分类标签的条件概率分布[插图]，并且可用于分类任务。然而，我们认为逻辑回归是判别式模型，因为它直接对给定的输入特征的分类标签的条件概率分布[插图]进行模型构建，而不对输入数据和输出标签的潜在联合分布做出假设。朴素贝叶斯被认为是生成式模型，因为它对输入数据[插图]和输出标签[插图]的联合概率分布[插图]进行模型构建
《大模型技术30讲》,"GAN的另一个主要缺点是生成结果的多样性较差，这通常是由模式崩溃引起的。在这种情况下，生成器仅凭一小部分样本就能成功欺骗判别
-- 来自微信读书"
