书名,笔记内容
《老派少女购物路线》,三代人哄嚷吃饭都是十多年前往事，想起来仍鲜明如蒸烟，开锅时团团笼上来，半空中丝丝逸散掉。
《老派少女购物路线》,可惜妈妈与新厨房缘分不深，几个月后过世，厨房里没有过几次因她而起的炊烟。
《老派少女购物路线》,我妈颇懊恼，后来竟找到专人修补，伤兵归队后一直用到今天。
《老派少女购物路线》,我性格里有点滥情，养什么都怕养死了，自己承受不了，因此动植物尽量不养，但愿意养锅。妥善照顾的铁锅或比人长寿，不怕生别离
《老派少女购物路线》,整把刀黑沉，刃上有米粒大小缺口，看上去是文物之属，竟沿用至今，可见我阿姨性格犀利只在皮表，实则念旧豆腐心肠。
《老派少女购物路线》,回想我母女二人最多的相处都在厨房里。我妈径自湮去，我还前路茫茫，然而凭借这批黄铜不锈钢木制陶烧的坚固遗产，至少在崭新的厨房里，将回忆温热，将从前日子反复记得。
《老派少女购物路线》,妈妈病笃。倒数时日，她愈是寡食少语长睡偶醒，往生命静止方向深水潜游。彼时我每日问她想吃什么，然后尽量张罗来，博她一点病中日光。妈妈谈食物的时候，较能谈笑，于是以此唤她回神，多望一眼我们这些今世家人。
《老派少女购物路线》,身为孙辈里第一个孩子，外婆去哪都带上我，以海量食物溺爱孙女，而我回报她白白胖胖及念念不忘。我与我妈，叠印外婆脚步，加以近年发现的店铺，组织成老派购物路线
《老派少女购物路线》,在百年建筑群里穿梭，老铺里吃饭，买儿时食物。将自己藏匿于飞速时代里的皱褶缝隙，以为可以瞒过时间，但事与愿违。
《老派少女购物路线》,外婆走了十年，以为会陪我许久的妈妈，刻下也正在分秒转身。恍惚间她们松手，长长的百年的大街上，四顾仅余我一人。
《老派少女购物路线》,而人间朝气，非人多即得，在交通尖峰时的信义区路口，乃至捷运车厢，人亦颇多，但看上去是上班族的深倦与阑珊。倘若气场有颜色，那是团团鼠灰色。
《老派少女购物路线》,疫病冲击社会，世界秩序重置，未来就算好过来，也要留疤。
《老派少女购物路线》,因此约人去吃切仔面，意思近乎于，家里随便坐坐，吃个便饭。如今人们在社群媒体上，轻易积累数百上千位朋友，不小心就信以为真。实则心里一筛，即知误会。能随便一起吃碗面的对象，百千之中，实没有几位。
《老派少女购物路线》,妈妈劝，说女孩多吃猪肝，有助补血。我不为所动。但仍把她说过的事折叠收妥。妈妈三年前过世，我长痛不愈。母后去切仔面铺，自动吃起了猪肝和猪肺。补血补气以形补形。自己照顾自己。
《老派少女购物路线》,凭借吃面，看清彼此的参差，有我趋吉避凶的直觉，和频繁进出本地寺庙，可能的庇荫。总之见识过不少感情成灾的事，是从生活里的碎石细沙开始崩塌的。事先有兆，不必自欺欺人。
《老派少女购物路线》,近年我记时记事，一概以我妈在世与否前后推算。因此上回吃粥时，我妈还在。
《老派少女购物路线》,这种糜，是以碗就口，以筷子拨着吃的。手曲成弓形，拇指勾碗缘，食指撑在碗足，脸凑近，先啜一口泔，再食粥米。长辈喂婴儿吃糜时，将糜舀在匙尖上，送入小口前，脸凑近，头轻摇，来回吹凉。吃糜时候，人垂眉敛目，神态最温柔松软
《老派少女购物路线》,贫穷是暗喻，在粥碗里浮沉。
《老派少女购物路线》,人母精致的拼搏，全在红红绿绿的米汤里。
《老派少女购物路线》,用心稠密，我喝了强壮起来，之后没再瘦过
《老派少女购物路线》,"2023/12/04发表想法
如果作者语言功底薄弱，无法克服欧化汉语，大概会这样写：两位老人都去世以后，整个家族的人一起商议，决定以后每家各自开伙。原来一家子人哗哗吃饭的热闹景象簌地冷落下来。卤肉的事也就变得很难得了。
原文：二老皆逝。家族协议，日后各自开伙。众人从哗哗吃饭，一瞬冷落下来，卤肉的事，就忽地难得。"
《老派少女购物路线》,"2023/11/13发表想法
语言至简，读来清雅恬淡，偶有一点哀戚，也弭于波澜不惊的叙说中
原文：二老皆逝。家族协议，日后各自开伙。众人从哗哗吃饭，一瞬冷落下来，卤肉的事，就忽地难得。"
《老派少女购物路线》,有时听闻别人说，想念家里某某从前烧的什么菜，但人没了，菜也一起没了，就心生警惕。我的经验是，若有什么一生持续念想的菜色，赶得及，就应该设法学会。以后长路走远，恐怕前后无人，把一道家常菜反复练熟，随身携带，是自保的手段。逝者唤不回，如果连菜也丢了，味觉以后就再也无处可泊岸。
《老派少女购物路线》,母后至今，如遇困难，无端端孤儿意识滋长起来的时候，就卤肉。慢慢切件，翻炒，卤一大锅。趁热下肚，以治心堵。当香气开始流泻在小公寓里，就回去和儿时那个完整无缺的家族团圆。
《老派少女购物路线》,人冻成一粒冰
《老派少女购物路线》,焖茶时，颠倒沙漏，让五分钟安静地流泻。沙漏作为时计，好过电子计时器和手机闹钟。时间经过，或错过，本来就是不作响的
《老派少女购物路线》,恶意比身体赤裸。
