书名,笔记内容
《人人都是产品经理（套装全四册）》,只要你能够发现问题并描述清楚，转化为一个需求，进而转化为一个任务，争取到支持，发动起一批人，将这个任务完成，并持续不断以主人翁的心态去跟踪、维护这个产物，那么，你就是产品经理。
《人人都是产品经理（套装全四册）》,产品就是用来解决某个问题的东西。
《人人都是产品经理（套装全四册）》,管理并不是公司的管理层——如总裁、总监、经理们才需要掌握的技能，而是每个人必备的生存技能，只是每个人可以掌控的资源不同，所以需要管理的对象也不同。
《人人都是产品经理（套装全四册）》,管理的能力，其实就是“在资源不足的情况下把事情做成”的能力，
《人人都是产品经理（套装全四册）》,第一，信息不足以决策。时间有限、能力有限，每次决策前不可能掌握所有信息，做决定时总是很头疼。第二，时间不足以安排周密的计划。实际工作中，我们总是接到3个月、1个月，甚至1个礼拜完成某项目的命令，期限紧张得每次都让我们张大嘴巴说不出话来。第三，人员不足以支持工作强度和难度。我们常常遇到人员不足的情况。这一不足，不仅体现在人数上，还有可能体现在能力、团队士气等方面，更有可能体现在公司对团队支持力度的不足上——比如加班工资无法按时足额发放。第四，资金不足以自由调配。俗话说“钱要花在刀刃上”​，买机器要钱、招人要钱、产品推广要钱，而花这些钱的前提是公司得赚钱，产品经理们手里的每一分钱都恨不得掰成两半用。
《人人都是产品经理（套装全四册）》,应届生应聘这类职位主要看面试表现。要是我来做面试官，我最在乎的是应聘者有没有激情，是否够机灵、好学，逻辑思维是否清晰，沟通表达是否顺畅等。其他的都次要一些，比如对行业的熟悉程度。我可能会问应聘者这样一些问题，比如“谈谈我们生活中经常用的一个产品，它解决了什么问题，要是你来改进，打算怎么做？​”​“看电视、书、电影吗？举个例子分析一下它的目标用户。​”​“说说你是怎么准备这次面试的。​”​。
《人人都是产品经理（套装全四册）》,我之前没有担任过项目经理，现在总算体会到“操心”是一种什么感觉。最明显的变化是，我原来只需要接受别人的会议邀请，现在要整天给别人发送会议邀请。
《人人都是产品经理（套装全四册）》,一个人对一个产品的激情终将渐渐褪去，同时市场、公司也是在不断变化的，所以产品经理不可能对某个产品“从一而终”​，总有一天要离开它。我慢慢意识到不能让产品少了自己就不行，于是我总是在产品渐渐成熟的时候开始主动定规范、定流程，把自己手上的工作一点点分出去，让自己可以安心地去做其他事情。
《人人都是产品经理（套装全四册）》,面对那么多极具诱惑的产品，果断地放弃变得很重要，而放弃的原则与依据，就是战略规划和使命愿景价值观。
《人人都是产品经理（套装全四册）》,我也开始思考什么是产品经理的“灵魂”​，技能之外的哪些基本修养对一个出色的产品经理最重要？这个问题的答案我总结为四个关键词：爱生活、有理想、会思考、能沟通。其实这些对每个人都很重要，要不，我怎么老说“人人都是产品经理”呢。
《人人都是产品经理（套装全四册）》,引子；第2章“一个需求的奋斗史”讲需求；第3章“项目的坎坷一生”讲项目；第4章“我的产品，我的团队”讲团队；第5章“别让灵魂跟不上脚步”讲战略；第6章“产品经理的自我修养”讲修养，作为全书的小结。
《人人都是产品经理（套装全四册）》,有一天，我盯着这张图（图1-10）​，越看越觉得它宛如一个生态系统，如图1-11所示。用户是我们的云，提供水汽。通过需求管理过程的催化，水汽凝结成雨。项目为河流，来自云层的雨水汇聚成河，流过并滋润大地。我们的团队如同各种动植物在其中促进整个过程。战略就像阳光一样驱动着整个循环
